Species,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aedes albopictus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Aedes c. canadensis,0,3,0,2,5,0,3,2,3,21,1,6,16,6,5,1,0,4,11,33,0,2
Aedes cantator,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
Aedes cinereus,0,1,0,3,0,1,0,1,1,6,0,0,1,0,1,0,0,2,10,2,0,6
Aedes dupreei,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aedes j. japonicus,0,1,2,0,0,3,0,2,2,0,4,1,1,0,1,6,1,1,23,2,1,1
Aedes provocans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Aedes sollicitans,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Aedes sticticus,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aedes stimulans,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Aedes taeniorhynchus,0,1,0,0,0,0,0,1,0,0,1,0,0,2,0,1,0,1,1,0,0,0
Aedes triseriatus,1,1,1,0,1,2,2,0,1,1,1,0,1,0,1,1,0,0,1,0,0,0
Aedes trivittatus,0,0,1,1,1,0,0,0,1,2,0,0,0,1,1,3,0,0,2,0,0,2
Aedes vexans,0,1,6,4,5,2,6,1,1,5,3,3,11,10,5,3,0,1,4,14,1,6
Anopheles crucians complex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Anopheles punctipennis,0,2,1,0,0,0,0,0,0,4,0,0,0,0,0,1,1,4,2,5,0,0
Anopheles quadrimaculatus s.l.,0,2,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,1,1,1,0,0
Anopheles quadrimaculatus s.s.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Anopheles walkeri,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0
Coquillettidia perturbans,0,2,1,1,0,3,13,2,1,10,22,11,75,30,10,1,0,12,20,162,46,2
Culex pipiens,5,20,79,37,38,43,192,69,132,34,185,117,201,68,53,113,109,90,255,53,128,125
Culex pipiens-restuans (Mixed),0,2,30,4,14,68,28,63,129,16,92,232,245,225,54,226,19,294,473,51,84,105
Culex restuans,5,6,18,13,10,3,19,1,48,4,25,28,20,35,10,17,7,23,71,12,17,58
Culex salinarius,2,6,3,14,5,7,16,1,11,6,15,14,26,11,6,28,1,23,38,62,8,22
Culex sp.,2,12,41,27,2,5,5,0,0,4,12,27,71,19,5,4,2,26,163,17,0,4
Culex territans,0,0,0,0,3,0,0,0,1,0,0,0,3,0,0,0,0,2,0,0,0,0
Culiseta impatiens,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Culiseta inornata,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Culiseta melanura,3,8,2,37,38,51,182,37,25,177,59,95,223,252,57,17,2,28,104,327,26,18
Culiseta minnesotae,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Culiseta morsitans,0,0,0,8,8,10,7,1,3,25,3,1,1,8,4,2,1,4,7,2,0,0
Culiseta sp.,0,1,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0
Orthopodomyia signifera,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Species / Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
Psorophora ferox,0,0,0,2,0,0,1,0,0,1,0,0,0,1,2,0,0,1,2,4,0,9
Uranotaenia sapphirina,0,1,1,1,0,0,0,0,0,4,1,0,0,0,1,0,0,0,0,7,0,1
Grand Total,18,73,188,158,134,198,475,181,361,326,424,536,896,673,216,424,146,525,1193,756,311,361
